Census Region of Residence,Census Region of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,OE Gestational Age Recode 10,OE Gestational Age Recode 10 Code,Trimester Prenatal Care Began,Trimester Prenatal Care Began Code,Number of Prenatal Visits,Number of Prenatal Visits Code,Births,Average OE Gestational Age (weeks),Average Number of Prenatal Visits
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,8 prenatal visits,8,10,38.50,8.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,9 prenatal visits,9,24,38.00,9.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,10 prenatal visits,10,39,38.13,10.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,11 prenatal visits,11,37,38.38,11.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,12 prenatal visits,12,67,38.40,12.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,13 prenatal visits,13,44,38.45,13.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,14 prenatal visits,14,31,38.35,14.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,1st to 3rd month,1,15 prenatal visits,15,30,38.37,15.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,4th to 6th month,2,8 prenatal visits,8,17,38.12,8.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,4th to 6th month,2,10 prenatal visits,10,15,38.67,10.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,4th to 6th month,2,11 prenatal visits,11,12,38.58,11.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,37 - 39 weeks,6,Unknown or Not Stated,5,Unknown or Not Stated,99,12,38.83,Not Applicable
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,40 weeks,7,1st to 3rd month,1,10 prenatal visits,10,10,40.00,10.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,40 weeks,7,1st to 3rd month,1,11 prenatal visits,11,11,40.00,11.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,40 weeks,7,1st to 3rd month,1,12 prenatal visits,12,17,40.00,12.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,40 weeks,7,1st to 3rd month,1,13 prenatal visits,13,10,40.00,13.00
Census Region 1: Northeast,CENS-R1,American Indian or Alaska Native,1002-5,40 weeks,7,1st to 3rd month,1,14 prenatal visits,14,10,40.00,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,20 - 27 weeks,2,1st to 3rd month,1,5 prenatal visits,5,11,25.45,5.00
Census Region 1: Northeast,CENS-R1,Asian,A,20 - 27 weeks,2,1st to 3rd month,1,6 prenatal visits,6,11,23.36,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,28 - 31 weeks,3,1st to 3rd month,1,6 prenatal visits,6,17,29.53,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,28 - 31 weeks,3,1st to 3rd month,1,7 prenatal visits,7,13,29.46,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,28 - 31 weeks,3,1st to 3rd month,1,10 prenatal visits,10,12,30.25,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,5 prenatal visits,5,14,33.64,5.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,6 prenatal visits,6,31,33.61,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,7 prenatal visits,7,57,33.88,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,8 prenatal visits,8,74,34.04,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,9 prenatal visits,9,63,34.24,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,10 prenatal visits,10,117,34.08,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,11 prenatal visits,11,53,34.08,11.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,12 prenatal visits,12,70,34.17,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,13 prenatal visits,13,15,34.07,13.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,14 prenatal visits,14,18,34.33,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,15 prenatal visits,15,10,34.10,15.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,1st to 3rd month,1,16 prenatal visits,16,10,34.10,16.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,4th to 6th month,2,6 prenatal visits,6,12,33.83,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,4th to 6th month,2,8 prenatal visits,8,10,33.90,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,4th to 6th month,2,10 prenatal visits,10,10,33.50,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,No prenatal care,4,0 prenatal visits,0,14,33.86,0.00
Census Region 1: Northeast,CENS-R1,Asian,A,32 - 35 weeks,4,Unknown or Not Stated,5,Unknown or Not Stated,99,18,34.28,Not Applicable
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,6 prenatal visits,6,14,36.00,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,7 prenatal visits,7,30,36.00,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,8 prenatal visits,8,48,36.00,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,9 prenatal visits,9,66,36.00,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,10 prenatal visits,10,106,36.00,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,11 prenatal visits,11,58,36.00,11.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,12 prenatal visits,12,79,36.00,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,13 prenatal visits,13,16,36.00,13.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,14 prenatal visits,14,25,36.00,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,15 prenatal visits,15,24,36.00,15.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,1st to 3rd month,1,16 prenatal visits,16,12,36.00,16.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,4th to 6th month,2,7 prenatal visits,7,13,36.00,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,4th to 6th month,2,8 prenatal visits,8,13,36.00,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,4th to 6th month,2,12 prenatal visits,12,11,36.00,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,36 weeks,5,No prenatal care,4,0 prenatal visits,0,10,36.00,0.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,1 prenatal visits,1,11,38.36,1.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,3 prenatal visits,3,18,38.33,3.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,4 prenatal visits,4,26,38.04,4.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,5 prenatal visits,5,58,38.33,5.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,6 prenatal visits,6,112,38.32,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,7 prenatal visits,7,208,38.24,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,8 prenatal visits,8,409,38.22,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,9 prenatal visits,9,651,38.28,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,10 prenatal visits,10,1534,38.31,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,11 prenatal visits,11,1266,38.41,11.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,12 prenatal visits,12,1839,38.40,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,13 prenatal visits,13,910,38.47,13.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,14 prenatal visits,14,634,38.52,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,15 prenatal visits,15,433,38.41,15.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,16 prenatal visits,16,232,38.44,16.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,17 prenatal visits,17,120,38.38,17.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,18 prenatal visits,18,108,38.34,18.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,19 prenatal visits,19,74,38.43,19.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,20 prenatal visits,20,106,38.39,20.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,21 prenatal visits,21,35,38.20,21.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,22 prenatal visits,22,24,38.00,22.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,23 prenatal visits,23,14,38.43,23.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,24 prenatal visits,24,12,38.25,24.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,25 prenatal visits,25,15,38.40,25.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,30 prenatal visits,30,12,38.42,30.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,1st to 3rd month,1,Unknown or Not Stated,99,24,38.38,Not Applicable
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,3 prenatal visits,3,20,37.90,3.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,4 prenatal visits,4,37,38.57,4.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,5 prenatal visits,5,46,38.17,5.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,6 prenatal visits,6,67,38.46,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,7 prenatal visits,7,109,38.21,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,8 prenatal visits,8,195,38.19,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,9 prenatal visits,9,192,38.48,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,10 prenatal visits,10,303,38.50,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,11 prenatal visits,11,161,38.54,11.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,12 prenatal visits,12,164,38.50,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,13 prenatal visits,13,63,38.41,13.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,14 prenatal visits,14,43,38.56,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,15 prenatal visits,15,26,38.69,15.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,16 prenatal visits,16,14,38.36,16.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,4th to 6th month,2,17 prenatal visits,17,10,38.20,17.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,1 prenatal visits,1,26,38.35,1.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,2 prenatal visits,2,22,38.27,2.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,3 prenatal visits,3,30,38.23,3.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,4 prenatal visits,4,45,38.16,4.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,5 prenatal visits,5,68,38.25,5.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,6 prenatal visits,6,51,38.57,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,7 prenatal visits,7,48,38.38,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,8 prenatal visits,8,31,38.55,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,9 prenatal visits,9,13,38.69,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,10 prenatal visits,10,20,38.25,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,7th to final month,3,12 prenatal visits,12,12,38.67,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,No prenatal care,4,0 prenatal visits,0,82,38.20,0.00
Census Region 1: Northeast,CENS-R1,Asian,A,37 - 39 weeks,6,Unknown or Not Stated,5,Unknown or Not Stated,99,128,38.31,Not Applicable
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,6 prenatal visits,6,19,40.00,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,7 prenatal visits,7,27,40.00,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,8 prenatal visits,8,66,40.00,8.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,9 prenatal visits,9,105,40.00,9.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,10 prenatal visits,10,260,40.00,10.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,11 prenatal visits,11,213,40.00,11.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,12 prenatal visits,12,387,40.00,12.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,13 prenatal visits,13,308,40.00,13.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,14 prenatal visits,14,195,40.00,14.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,15 prenatal visits,15,163,40.00,15.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,16 prenatal visits,16,63,40.00,16.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,17 prenatal visits,17,34,40.00,17.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,18 prenatal visits,18,22,40.00,18.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,1st to 3rd month,1,20 prenatal visits,20,10,40.00,20.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,4th to 6th month,2,4 prenatal visits,4,10,40.00,4.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,4th to 6th month,2,6 prenatal visits,6,20,40.00,6.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,4th to 6th month,2,7 prenatal visits,7,15,40.00,7.00
Census Region 1: Northeast,CENS-R1,Asian,A,40 weeks,7,4th to 6th month,2,8 prenatal visits,8,31,40.00,8.00
